ontology_area_id,atlas_id,axis,atlas_label,normalized_label,side,lobe_or_group,hosts,taro_present,runtime_scope,wiki_target_slug,coverage_class,scope_reason,duplicate_status,canonical_slug,evidence_source,review_status,reviewed_at
dkt:supramarginal:l,dkt,macro,supramarginal · L,supramarginal,L,parietal,supramarginal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:supramarginal:r,dkt,macro,supramarginal · R,supramarginal,R,parietal,supramarginal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:bankssts:l,dkt,macro,bankssts · L,bankssts,L,temporal,,false,fsaverage,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:bankssts:r,dkt,macro,bankssts · R,bankssts,R,temporal,,false,fsaverage,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:entorhinal:l,dkt,macro,entorhinal · L,entorhinal,L,temporal,parahippocampal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:entorhinal:r,dkt,macro,entorhinal · R,entorhinal,R,temporal,parahippocampal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:fusiform:l,dkt,macro,fusiform · L,fusiform,L,temporal,fusiform-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:fusiform:r,dkt,macro,fusiform · R,fusiform,R,temporal,fusiform-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:inferiortemporal:l,dkt,macro,inferiortemporal · L,inferiortemporal,L,temporal,inferior-temporal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:inferiortemporal:r,dkt,macro,inferiortemporal · R,inferiortemporal,R,temporal,inferior-temporal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
